,informacion_mutua
PC_2,0.7418433002720302
PC_1,0.5592049065200411
PC_3,0.5059553966839117
PC_6,0.46666185398167226
PC_7,0.33912036132615464
PC_5,0.3389473429079972
PC_8,0.3369344173540316
PC_4,0.3084698663011145
PC_9,0.2085663746629196
PC_10,0.11601728817344048
PC_12,0.10470163702676816
PC_22,0.09516254585480555
PC_16,0.09387591280841034
PC_19,0.09027762685659768
PC_13,0.08677107549678498
PC_17,0.08318147844691515
PC_11,0.08033444926230615
PC_81,0.07913968099810686
PC_20,0.07854604675728982
PC_26,0.07788793381997206
PC_18,0.07761992547749941
PC_14,0.06884459878918436
PC_30,0.0631908394078784
PC_15,0.058606121023520696
PC_50,0.056628065580313525
PC_41,0.05308247402354915
PC_23,0.05273424998474052
PC_32,0.052195021228061744
PC_21,0.05066254390848002
PC_76,0.04981867567932152
PC_47,0.048013010816415846
PC_84,0.047023483549578415
PC_74,0.04404632440728129
PC_45,0.041078748499326245
PC_40,0.04062615689333571
PC_67,0.03982023451161698
PC_60,0.0392136225566011
PC_52,0.03915630542818427
PC_57,0.03871163686134027
PC_49,0.037362899418011075
PC_29,0.03654636934963573
PC_25,0.036529218524496976
PC_48,0.03540191950349847
PC_55,0.03539525200701643
PC_86,0.03485084271964656
PC_27,0.033862761772242234
PC_33,0.03213824272766841
PC_35,0.03196599949357237
PC_37,0.03184033046789558
PC_58,0.03166743624730062
PC_82,0.031214736287467293
PC_24,0.03080327528972715
PC_87,0.03068857128630631
PC_56,0.029915666250426298
PC_44,0.029384189384241477
PC_91,0.029071896789556018
PC_89,0.02895039288729606
PC_99,0.028483720891994135
PC_90,0.028133612454297463
PC_38,0.02754279043634611
PC_46,0.02742498108547009
PC_51,0.027099357289797954
PC_85,0.026687827504419115
PC_31,0.026546564610481216
PC_42,0.026150648909348373
PC_64,0.025641379582070467
PC_28,0.02524562078584003
PC_63,0.025142938019850458
PC_34,0.024909547389643016
PC_66,0.024557275050505645
PC_98,0.02402118337243575
PC_39,0.023849365360423036
PC_96,0.023701299216158933
PC_73,0.023364821965710103
PC_61,0.023158097269690536
PC_93,0.022330021980939474
PC_79,0.02200036817605433
PC_77,0.021881264236501607
PC_70,0.021853813681333545
PC_43,0.02120871070765018
PC_80,0.020431750072759325
PC_78,0.02034115226206179
PC_100,0.019812103294054584
PC_53,0.019713306380194417
PC_92,0.01819206119674588
PC_71,0.01627745656230184
PC_68,0.01609939777616054
PC_36,0.016008175994258078
PC_95,0.015136141784712898
PC_75,0.014749540211733247
PC_97,0.014547501442752964
PC_94,0.014386568011993006
PC_54,0.014190293313725011
PC_62,0.013838890579096486
PC_65,0.013827092018952936
PC_83,0.012838471210597113
PC_88,0.010626532956992119
PC_69,0.010291529712323833
PC_59,0.00961912334840953
PC_72,0.007412716938188346
