n_componentes,varianza_acumulada
1,0.29150665
2,0.46775326
3,0.5284163
4,0.5782673
5,0.6171431
6,0.65177935
7,0.6750577
8,0.6935537
9,0.70712364
10,0.7201709
11,0.7300128
12,0.73933214
13,0.7468554
14,0.7533591
15,0.7594853
16,0.7653073
17,0.77090454
18,0.7760253
19,0.7806771
20,0.78519297
21,0.78954464
22,0.7936146
23,0.7974023
24,0.80113596
25,0.8047813
26,0.8083607
27,0.8117268
28,0.8149181
29,0.8180252
30,0.82103485
31,0.8238274
32,0.8265431
33,0.82919025
34,0.83178604
35,0.83425486
36,0.8366076
37,0.83887905
38,0.84114015
39,0.8432652
40,0.8453437
41,0.8473546
42,0.8493326
43,0.8512933
44,0.85312366
45,0.8549272
46,0.8566683
47,0.8583754
48,0.86002547
49,0.8616226
50,0.8631763
51,0.8647041
52,0.8662092
53,0.86767656
54,0.8691096
55,0.8704917
56,0.87186295
57,0.8731925
58,0.8744888
59,0.8757691
60,0.8770289
61,0.87826145
62,0.879467
63,0.8806501
64,0.8818263
65,0.88299614
66,0.88415533
67,0.88529444
68,0.8864059
69,0.8874675
70,0.8885099
71,0.8895372
72,0.89055735
73,0.8915339
74,0.89249384
75,0.89343923
76,0.8943731
77,0.89529485
78,0.8962095
79,0.8971031
80,0.89797866
81,0.89885193
82,0.8997107
83,0.90054834
84,0.9013682
85,0.90218467
86,0.9029954
87,0.9038004
88,0.9045889
89,0.90536726
90,0.90613544
91,0.90689576
92,0.9076386
93,0.90837353
94,0.90910375
95,0.9098216
96,0.91051656
97,0.91120064
98,0.9118788
99,0.91254944
100,0.913213
101,0.9138709
102,0.9145161
103,0.9151558
104,0.915789
105,0.9164195
106,0.9170429
107,0.91766036
108,0.9182657
109,0.9188652
110,0.9194538
111,0.92003345
112,0.9206109
113,0.9211805
114,0.92174435
115,0.9223023
116,0.92285454
117,0.9234002
118,0.9239398
119,0.9244719
120,0.92499465
121,0.9255091
122,0.9260203
123,0.9265277
124,0.9270298
125,0.927528
126,0.9280251
127,0.92851865
128,0.9290034
129,0.92948407
130,0.9299601
131,0.9304329
132,0.9309005
133,0.9313664
134,0.9318277
135,0.9322826
136,0.9327346
137,0.93318284
138,0.9336294
139,0.9340747
140,0.93450946
141,0.9349413
142,0.93536896
143,0.9357905
144,0.93620896
145,0.93662375
146,0.9370365
147,0.93744385
148,0.9378507
149,0.9382522
150,0.9386471
151,0.9390416
152,0.9394307
153,0.93981785
154,0.9402025
155,0.9405815
156,0.94095963
157,0.9413331
158,0.94170463
159,0.9420714
160,0.9424358
161,0.9427976
162,0.94315803
163,0.94351435
164,0.94386476
165,0.9442108
166,0.94455516
167,0.9448957
168,0.94523615
169,0.94557625
170,0.94591314
171,0.94624776
172,0.94658136
173,0.94691163
174,0.94723845
175,0.94755995
176,0.94788104
177,0.9482013
178,0.94852054
179,0.94883674
180,0.94915164
181,0.9494612
182,0.9497697
183,0.9500763
184,0.95038223
185,0.9506848
186,0.9509857
187,0.9512844
188,0.95157963
189,0.95187235
190,0.9521645
191,0.9524536
192,0.9527415
193,0.95302624
194,0.95330864
195,0.95359
196,0.9538686
197,0.9541464
198,0.95442206
199,0.95469475
200,0.95496666
