reducer,n_components,classifier,accuracy,precision_macro,recall_macro,f1_macro,train_time
pca,10,svm,0.05,0.0069,0.0556,0.0123,0.0042
pca,10,logistic,0.1,0.0471,0.1667,0.063,0.0062
pca,10,rf,0.05,0.0078,0.0625,0.0139,0.1973
pca,10,knn,0.05,0.0139,0.0556,0.0222,0.0013
pca,50,svm,0.05,0.0066,0.125,0.0125,0.0032
pca,50,logistic,0.15,0.088,0.1667,0.0882,0.0069
pca,50,rf,0.15,0.1426,0.1944,0.1517,0.2288
pca,50,knn,0.2,0.0944,0.1389,0.1089,0.001
nmf,10,svm,0.1,0.0573,0.1667,0.0694,0.0032
nmf,10,logistic,0.05,0.0069,0.1111,0.0131,0.0072
nmf,10,rf,0.05,0.0179,0.0417,0.025,0.1918
nmf,10,knn,0.15,0.1667,0.1019,0.1079,0.0014
nmf,50,svm,0.05,0.0063,0.125,0.0119,0.0036
nmf,50,logistic,0.15,0.0778,0.1667,0.0926,0.0075
nmf,50,rf,0.25,0.1963,0.2685,0.2037,0.1893
nmf,50,knn,0.05,0.0139,0.0278,0.0185,0.0009
umap,10,svm,0.05,0.0063,0.125,0.0119,0.0028
umap,10,logistic,0.1,0.0648,0.1667,0.0926,0.0731
umap,10,rf,0.15,0.2222,0.1204,0.1481,0.1951
umap,10,knn,0.15,0.127,0.1111,0.1128,0.0012
umap,50,svm,0.05,0.0063,0.125,0.0119,0.0029
umap,50,logistic,0.05,0.0556,0.0278,0.037,0.1711
umap,50,rf,0.2,0.2407,0.2037,0.1741,0.2262
umap,50,knn,0.2,0.1148,0.1389,0.1175,0.0009
isomap,10,svm,0.05,0.0139,0.1111,0.0247,0.0033
isomap,10,logistic,0.15,0.1111,0.1667,0.1093,0.0305
isomap,10,rf,0.1,0.0714,0.1389,0.0648,0.1972
isomap,10,knn,0.1,0.1167,0.05,0.06,0.0011
isomap,50,svm,0.05,0.0063,0.125,0.0119,0.0032
isomap,50,logistic,0.1,0.0667,0.1333,0.0833,0.0201
isomap,50,rf,0.1,0.0926,0.1389,0.1058,0.2205
isomap,50,knn,0.15,0.25,0.15,0.1733,0.001
